id,plan_name,global_plan,region,plan_type,data,validity,package_name,retail_price,wholesale_price,cost_price,singleUse,test_plan,isRegional,created_at,updated_at,deleted_at,vendor_id,recharge,countries
122,DRC 1GB,0,Africa,2,1,7,pondu-mobile-7days-1gb,6.50,5.00,4.00,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:41,\N,1,0,
123,Oman 1GB,0,Middle East,2,1,7,omancom-7days-1gb,4.50,3.50,2.00,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:54,\N,1,0,
124,Guatemala 1GB,0,LATAM,2,1,7,tikal-mobile-7days-1gb,6.50,5.50,4.50,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:45,\N,1,0,
125,Ecuador 1GB,0,LATAM,2,1,7,esim_1GB_7D_EC_V2,7.50,6.00,3.34,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:41,\N,3,0,
126,Bolivia 1GB,0,LATAM,2,1,7,wa-mobile-7days-1gb,8.50,7.50,6.10,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:37,\N,1,0,
127,Germany 1GB,0,Europe,2,1,7,esim_1GB_7D_DE_V2,5.00,2.50,1.59,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:43,\N,3,0,
128,Costa Rica 1GB,0,LATAM,2,1,7,esim_1GB_7D_CR_V2,7.50,6.00,3.34,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:40,\N,3,0,
129,Albania 1GB,0,Europe,2,1,7,esim_1GB_7D_AL_V2,4.50,3.25,2.63,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:34,\N,3,0,
130,China 1GB,0,Asia,2,1,7,chinacom-7days-1gb,5.00,4.00,2.70,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:40,\N,1,0,
131,Europe Plus 1GB,0,Europe,2,1,7,esim_1GB_7D_REUP_V2,5.00,2.50,1.59,0,0,1,2023-06-24 13:26:02,2024-04-09 16:49:42,\N,3,0,
132,Uzbekistan 1GB,0,Asia,2,1,7,uzbeknet-7days-1gb,4.50,3.00,1.80,0,0,0,2023-06-24 13:26:02,2024-04-09 16:50:00,\N,1,0,
133,Honduras 1GB,0,LATAM,2,1,7,honnet-7days-1gb,7.00,6.00,4.90,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:45,\N,1,0,
134,Kosovo 1GB,0,Europe,2,1,7,kosnet-7days-1gb,6.50,5.00,3.30,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:48,\N,1,0,
135,Croatia 1GB,0,Europe,2,1,7,esim_1GB_7D_HR_V2,5.00,2.50,1.59,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:40,\N,3,0,
136,Mozambique 1GB,0,Africa,2,1,7,comemoro-7days-1gb,8.00,7.50,6.80,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:52,\N,1,0,
137,Anguilla 1GB,0,Caribbean,2,1,7,dolphin-mobile-7days-1gb,9.50,9.00,8.10,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:35,\N,1,0,
138,Colombia  1GB,0,LATAM,2,1,7,esim_1GB_7D_CO_V2,7.50,6.00,3.34,0,0,0,2023-06-24 13:26:02,2024-04-09 16:49:40,\N,3,0,
139,USA 1GB,0,North America,2,1,7,esim_1GB_7D_US_V2,5.00,3.00,1.82,0,0,0,2023-06-24 13:26:02,2024-04-09 16:50:00,\N,3,0,
